agent,metric,count,mean,std,median,minimum,maximum,ci_low,ci_high,lower_is_better
dqn,total_reward,15,-60.72666666666666,22.76519011456704,-64.6,-114.55,-19.35,-72.2474424190966,-49.20589091423672,False
dqn,final_position,15,9.333333333333334,4.760952285695232,9.0,1.0,18.0,6.923959048494126,11.742707618172542,True
dqn,position_gain,15,1.7333333333333334,3.5550098787619757,2.0,-5.0,7.0,-0.06574988999026932,3.532416556656936,False
dqn,total_race_time,15,4783.812533333333,979.4357757434245,4156.84,4066.777,6133.748,4288.1496427771535,5279.475423889512,True
dqn,mean_lap_time,15,78.41473333333333,0.20412967400533635,78.452,78.011,78.748,78.31142946515578,78.51803720151088,True
dqn,mean_lap_delta,15,0.41473333333333334,0.2041296740053337,0.452,0.011,0.748,0.31142946515578424,0.5180372015108825,True
dqn,pit_count,15,6.4,1.8822478962286409,6.0,4.0,12.0,5.447451138611077,7.352548861388923,False
dqn,invalid_action_rate,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
dqn,mean_inference_ms,15,0.8125266666666667,0.027752412164573744,0.805,0.763,0.8688,0.7984820083296176,0.8265713250037159,True
dqn,p95_inference_ms,15,1.1571933333333333,0.017558289318994676,1.1539,1.1342,1.1855,1.1483076129496066,1.16607905371706,True
qrl,total_reward,15,-55.96333333333334,20.585990960104976,-54.8,-87.75,-24.85,-66.38128215341197,-45.5453845132547,False
qrl,final_position,15,7.466666666666667,5.1805497042394295,6.0,1.0,15.0,4.844946790114042,10.088386543219292,True
qrl,position_gain,15,3.6666666666666665,4.353433237386437,4.0,-3.0,13.0,1.463525474842795,5.869807858490538,False
qrl,total_race_time,15,4786.653,977.8685767372541,4155.119,4066.341,6130.845,4291.783221568897,5281.522778431104,True
qrl,mean_lap_time,15,78.46726666666667,0.1780643810803396,78.453,78.199,78.748,78.3771536566897,78.55737967664365,True
qrl,mean_lap_delta,15,0.4672666666666666,0.17806438108033792,0.453,0.199,0.748,0.37715365668968764,0.5573796766436456,True
qrl,pit_count,15,6.866666666666666,2.3563490726929555,6.0,3.0,12.0,5.674189506391562,8.05914382694177,False
qrl,invalid_action_rate,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
qrl,mean_inference_ms,15,2.37318,0.09119442495491237,2.3492,2.2468,2.5951,2.327029253422001,2.419330746577999,True
qrl,p95_inference_ms,15,3.4421600000000003,0.0650309684469088,3.4372,3.346,3.5309,3.4092497892497384,3.4750702107502622,True
