seed,track,year,race_name,lap_index,action_a,action_name_a,reward_a,position_after_a,action_b,action_name_b,reward_b,position_after_b,actions_disagree,reward_b_minus_a
1001,monaco,2026,Monaco Grand Prix,0,0,stay_out,-1.3,13,0,stay_out,-0.6,6,False,0.7000000000000001
1001,monaco,2026,Monaco Grand Prix,1,0,stay_out,-1.3,13,0,stay_out,-0.7,7,False,0.6000000000000001
1001,monaco,2026,Monaco Grand Prix,2,0,stay_out,-1.3,13,4,pit_intermediate,-0.75,7,True,0.55
1001,monaco,2026,Monaco Grand Prix,3,0,stay_out,-1.2,12,0,stay_out,-0.7,7,False,0.5
1001,monaco,2026,Monaco Grand Prix,4,0,stay_out,-1.1,11,0,stay_out,-0.7,7,False,0.40000000000000013
1001,monaco,2026,Monaco Grand Prix,5,0,stay_out,-1.1,11,0,stay_out,-0.6,6,False,0.5000000000000001
1001,monaco,2026,Monaco Grand Prix,6,0,stay_out,-1.2,12,0,stay_out,-0.6,6,False,0.6
1001,monaco,2026,Monaco Grand Prix,7,0,stay_out,-1.2,12,0,stay_out,-0.6,6,False,0.6
1001,monaco,2026,Monaco Grand Prix,8,0,stay_out,-1.1,11,4,pit_intermediate,-0.65,6,True,0.45000000000000007
1001,monaco,2026,Monaco Grand Prix,9,0,stay_out,-1.0,10,0,stay_out,-0.6,6,False,0.4
1001,monaco,2026,Monaco Grand Prix,10,0,stay_out,-1.0,10,0,stay_out,-0.5,5,False,0.5
1001,monaco,2026,Monaco Grand Prix,11,0,stay_out,-1.1,11,0,stay_out,-0.4,4,False,0.7000000000000001
1001,monaco,2026,Monaco Grand Prix,12,0,stay_out,-1.2,12,0,stay_out,-0.4,4,False,0.7999999999999999
1001,monaco,2026,Monaco Grand Prix,13,0,stay_out,-1.2,12,0,stay_out,-0.3,3,False,0.8999999999999999
1001,monaco,2026,Monaco Grand Prix,14,0,stay_out,-1.3,13,0,stay_out,-0.2,2,False,1.1
1001,monaco,2026,Monaco Grand Prix,15,0,stay_out,-1.4,14,0,stay_out,-0.3,3,False,1.0999999999999999
1001,monaco,2026,Monaco Grand Prix,16,2,pit_medium,-0.8,13,0,stay_out,-0.4,4,True,0.4
1001,monaco,2026,Monaco Grand Prix,17,0,stay_out,-1.3,13,0,stay_out,-0.4,4,False,0.9
1001,monaco,2026,Monaco Grand Prix,18,0,stay_out,-1.3,13,0,stay_out,-0.3,3,False,1.0
1001,monaco,2026,Monaco Grand Prix,19,0,stay_out,-1.4,14,4,pit_intermediate,-0.25,2,True,1.15
1001,monaco,2026,Monaco Grand Prix,20,0,stay_out,-1.5,15,0,stay_out,-0.1,1,False,1.4
1001,monaco,2026,Monaco Grand Prix,21,0,stay_out,-1.5,15,0,stay_out,-0.1,1,False,1.4
1001,monaco,2026,Monaco Grand Prix,22,0,stay_out,-1.5,15,0,stay_out,-0.1,1,False,1.4
1001,monaco,2026,Monaco Grand Prix,23,0,stay_out,-1.5,15,0,stay_out,-0.1,1,False,1.4
1001,monaco,2026,Monaco Grand Prix,24,0,stay_out,-1.6,16,0,stay_out,-0.1,1,False,1.5
1001,monaco,2026,Monaco Grand Prix,25,0,stay_out,-1.6,16,4,pit_intermediate,-0.35,3,True,1.25
1001,monaco,2026,Monaco Grand Prix,26,0,stay_out,-1.6,16,0,stay_out,-0.4,4,False,1.2000000000000002
1001,monaco,2026,Monaco Grand Prix,27,0,stay_out,-1.5,15,0,stay_out,-0.5,5,False,1.0
1001,monaco,2026,Monaco Grand Prix,28,0,stay_out,-1.6,16,0,stay_out,-0.6,6,False,1.0
1001,monaco,2026,Monaco Grand Prix,29,4,pit_intermediate,-1.75,17,0,stay_out,-0.6,6,True,1.15
