agent,metric,count,mean,std,median,minimum,maximum,ci_low,ci_high,lower_is_better
always_stay_out,total_reward,270,-173.36379352619693,98.43056907804741,-155.44950362656584,-426.23365082111263,3.637394785693559,-185.10476911985796,-161.6228179325359,False
always_stay_out,final_position,270,7.029629629629629,5.490025752393526,7.0,1.0,17.0,6.374769468084562,7.6844897911746965,True
always_stay_out,position_gain,270,4.311111111111111,7.359051444720786,4.0,-16.0,19.0,3.4333101980994964,5.188912024122725,False
always_stay_out,pit_count,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
always_stay_out,mean_lap_time,270,94.2563953263761,13.016173595142252,91.83318051914031,78.68359203029809,126.22178084449918,92.70380269245314,95.80898796029905,True
dqn,total_reward,270,-27.699072992561163,24.847801940628646,-30.81163095967063,-105.3660061152993,10.552090274361072,-30.662963569173805,-24.735182415948522,False
dqn,final_position,270,3.962962962962963,4.066194676058264,1.0,1.0,14.0,3.477939937109889,4.447985988816036,True
dqn,position_gain,270,7.377777777777778,5.959424969973071,7.5,-10.0,19.0,6.666926831978329,8.088628723577228,False
dqn,pit_count,270,2.6333333333333333,0.9139562271411643,2.0,1.0,5.0,2.5243149881480043,2.7423516785186624,False
dqn,mean_lap_time,270,94.18444891790867,8.63493137620211,92.69977346703601,83.06065458158625,113.7207110208698,93.15445874828424,95.2144390875331,True
qrl,total_reward,270,-39.19619270887903,33.44178097459354,-18.984147843280425,-102.72970601269986,12.704641330634168,-43.185188585961995,-35.20719683179607,False
qrl,final_position,270,4.844444444444444,4.455257395868936,3.0,1.0,15.0,4.313013316510009,5.375875572378879,True
qrl,position_gain,270,6.496296296296296,6.2831267215353055,6.0,-10.0,19.0,5.7468336224502075,7.245758970142385,False
qrl,pit_count,270,1.9925925925925927,0.8270186190331232,2.0,1.0,4.0,1.893944321912862,2.0912408632723234,False
qrl,mean_lap_time,270,93.34816754182573,6.05195181100904,96.49297012699677,83.55284240685752,101.12135959896322,92.62627982774853,94.07005525590293,True
random,total_reward,270,-703.2775945221096,905.5621255826446,-392.82017626411795,-3642.567315004503,-250.5172930237209,-811.294676152301,-595.2605128919181,False
random,final_position,270,9.7,5.1131072911688165,11.0,1.0,16.0,9.090099351495343,10.309900648504655,True
random,position_gain,270,1.6407407407407408,7.2768287988298175,2.0,-15.0,19.0,0.7727474930478815,2.5087339884336,False
random,pit_count,270,14.622222222222222,2.9045961953842045,14.0,10.0,24.0,14.275756755661666,14.968687688782778,False
random,mean_lap_time,270,139.83454548969985,117.58199272732442,100.62548529609515,88.73705881361957,513.1408273804016,125.80915358354414,153.85993739585555,True
real_driver,total_reward,270,-35.1364509814645,32.05339698135372,-35.36940606589776,-171.16862605739007,15.519380779421672,-38.95983791478191,-31.313064048147094,False
real_driver,final_position,270,3.4518518518518517,3.7747321104750697,1.0,1.0,13.0,3.001595005865773,3.9021086978379302,True
real_driver,position_gain,270,7.888888888888889,5.641279965844271,8.0,-10.0,19.0,7.215986852292226,8.561790925485552,False
real_driver,pit_count,270,1.962962962962963,0.9239273487861773,2.0,1.0,5.0,1.8527552444257163,2.0731706815002098,False
real_driver,mean_lap_time,270,93.0057556989539,7.5548678746241675,93.17725736197112,82.75716489021227,126.09404232373936,92.1045974494373,93.9069139484705,True
rule_aware_heuristic,total_reward,270,-170.8904740048678,98.54589548082234,-155.26218160926703,-426.23365082111263,3.895892373167367,-182.64520593960222,-159.13574207013338,False
rule_aware_heuristic,final_position,270,6.95925925925926,5.467222999869704,6.0,1.0,17.0,6.307119051112392,7.611399467406128,True
rule_aware_heuristic,position_gain,270,4.381481481481481,7.403331764626512,5.0,-16.0,19.0,3.498398732144402,5.264564230818561,False
rule_aware_heuristic,pit_count,270,0.02962962962962963,0.22619334890549203,0.0,0.0,3.0,0.0026488795047160812,0.05661037975454318,False
rule_aware_heuristic,mean_lap_time,270,94.29018289037407,12.815294746976273,91.8393833627823,78.68359203029809,126.22178084449918,92.76155144732597,95.81881433342217,True
